========================================================================================================================
| FILENAME               | MODEL_TYPE      | PRETRAINED_MODEL       | BACKGROUND_TYPE        | Total                  |
| exp_E2                 | ideal           | resnet                 | gray                   | 752                    |
------------------------------------------------------------------------------------------------------------------------
saving data :	e:\Cloud\RashidPHD\Supplimentary_Files\AAAI_26\notebooks\E1_E2_E3_E7\results\resnet\resnet_ideal_gray\plots_IoU
code started:	2025-11-10 22:04:01.198394
------------------------------------------------------------------------------------------------------------------------
Image_no                  predicted_class        predicted_prob       class_id        background_class
ILSVRC2012_val_00004677   goldfish               7.596925258636475    1               0.6823574900627136
ILSVRC2012_val_00006007   goldfish               6.846900939941406    1               0.6823574900627136
ILSVRC2012_val_00013623   goldfish               5.765498638153076    1               0.6823574900627136
ILSVRC2012_val_00018075   goldfish               6.38744592666626     1               0.6823574900627136
ILSVRC2012_val_00020436   stingray               5.717752933502197    6               -0.650915265083313
ILSVRC2012_val_00020785   goldfish               7.65952730178833     1               0.6823574900627136
ILSVRC2012_val_00021905   goldfish               7.503021717071533    1               0.6823574900627136
ILSVRC2012_val_00026064   tench                  7.35528564453125     0               -0.5129610896110535
ILSVRC2012_val_00028713   goldfish               6.985926151275635    1               0.6823574900627136
ILSVRC2012_val_00032235   goldfish               7.124998569488525    1               0.6823574900627136
ILSVRC2012_val_00032258   goldfish               6.932065010070801    1               0.6823574900627136
ILSVRC2012_val_00037846   goldfish               6.319157600402832    1               0.6823574900627136
ILSVRC2012_val_00038057   goldfish               7.389523029327393    1               0.6823574900627136
ILSVRC2012_val_00045761   goldfish               6.396999359130859    1               0.6823574900627136
ILSVRC2012_val_00048864   goldfish               6.3012003898620605   1               0.6823574900627136
ILSVRC2012_val_00002922   tiger_shark            6.364552021026611    3               0.18980814516544342
ILSVRC2012_val_00013484   tiger_shark            6.709884166717529    3               0.18980814516544342
ILSVRC2012_val_00015631   hammerhead             6.626544952392578    4               0.6758569478988647
ILSVRC2012_val_00019531   tiger_shark            6.550055980682373    3               0.18980814516544342
ILSVRC2012_val_00025640   tiger_shark            7.028578758239746    3               0.18980814516544342
ILSVRC2012_val_00030926   tiger_shark            6.447094440460205    3               0.18980814516544342
ILSVRC2012_val_00032130   tiger_shark            6.509830951690674    3               0.18980814516544342
ILSVRC2012_val_00034038   tiger_shark            7.127753734588623    3               0.18980814516544342
ILSVRC2012_val_00034413   tiger_shark            7.639463424682617    3               0.18980814516544342
ILSVRC2012_val_00037780   tiger_shark            6.779802322387695    3               0.18980814516544342
ILSVRC2012_val_00002668   goldfinch              6.652951240539551    11              -0.045664940029382706
ILSVRC2012_val_00004243   goldfinch              6.448429584503174    11              -0.045664940029382706
ILSVRC2012_val_00004893   goldfinch              6.943960666656494    11              -0.045664940029382706
ILSVRC2012_val_00005287   goldfinch              6.624807834625244    11              -0.045664940029382706
ILSVRC2012_val_00010409   goldfinch              6.176908493041992    11              -0.045664940029382706
ILSVRC2012_val_00015903   goldfinch              6.034597873687744    11              -0.045664940029382706
ILSVRC2012_val_00016252   goldfinch              6.858789920806885    11              -0.045664940029382706
ILSVRC2012_val_00019236   goldfinch              6.996384143829346    11              -0.045664940029382706
ILSVRC2012_val_00019744   goldfinch              6.788470268249512    11              -0.045664940029382706
ILSVRC2012_val_00025507   goldfinch              6.510393142700195    11              -0.045664940029382706
ILSVRC2012_val_00030071   goldfinch              7.246158123016357    11              -0.045664940029382706
ILSVRC2012_val_00031086   goldfinch              5.775302410125732    11              -0.045664940029382706
ILSVRC2012_val_00034250   goldfinch              6.449290752410889    11              -0.045664940029382706
ILSVRC2012_val_00037611   goldfinch              6.91818380355835     11              -0.045664940029382706
ILSVRC2012_val_00044706   goldfinch              6.627217769622803    11              -0.045664940029382706
ILSVRC2012_val_00000944   tree_frog              6.83095121383667     31              -0.24676398932933807
ILSVRC2012_val_00001739   tree_frog              7.06205940246582     31              -0.24676398932933807
ILSVRC2012_val_00003846   tree_frog              6.461337566375732    31              -0.24676398932933807
ILSVRC2012_val_00007574   tree_frog              6.503178596496582    31              -0.24676398932933807
ILSVRC2012_val_00015245   tree_frog              6.793612957000732    31              -0.24676398932933807
ILSVRC2012_val_00016177   tree_frog              6.860674858093262    31              -0.24676398932933807
ILSVRC2012_val_00017505   tree_frog              6.298367023468018    31              -0.24676398932933807
ILSVRC2012_val_00020943   tree_frog              6.592063903808594    31              -0.24676398932933807
ILSVRC2012_val_00025717   tree_frog              6.108678340911865    31              -0.24676398932933807
ILSVRC2012_val_00028225   tree_frog              6.89213752746582     31              -0.24676398932933807
ILSVRC2012_val_00028673   tree_frog              6.652616024017334    31              -0.24676398932933807
ILSVRC2012_val_00030622   tree_frog              6.879143714904785    31              -0.24676398932933807
ILSVRC2012_val_00032104   tree_frog              7.359038829803467    31              -0.24676398932933807
ILSVRC2012_val_00036066   tree_frog              7.136255264282227    31              -0.24676398932933807
ILSVRC2012_val_00043303   tree_frog              7.624904632568359    31              -0.24676398932933807
ILSVRC2012_val_00044855   leaf_beetle            6.076097011566162    304             -0.7553110718727112
ILSVRC2012_val_00006336   kuvasz                 6.866769790649414    222             -0.4384567439556122
ILSVRC2012_val_00011746   Great_Pyrenees         6.274352073669434    257             -0.7074899077415466
ILSVRC2012_val_00012318   kuvasz                 5.501000881195068    222             -0.4384567439556122
ILSVRC2012_val_00021642   kuvasz                 6.329720497131348    222             -0.4384567439556122
ILSVRC2012_val_00024533   Great_Pyrenees         6.164501190185547    257             -0.7074899077415466
ILSVRC2012_val_00024981   Blenheim_spaniel       5.873272895812988    156             -0.8518702983856201
ILSVRC2012_val_00025006   kuvasz                 6.119537830352783    222             -0.4384567439556122
ILSVRC2012_val_00027086   Great_Pyrenees         5.748527526855469    257             -0.7074899077415466
ILSVRC2012_val_00028605   kuvasz                 6.507437705993652    222             -0.4384567439556122
ILSVRC2012_val_00030705   clumber                8.777257919311523    216             -0.501524806022644
ILSVRC2012_val_00032043   kuvasz                 6.8649139404296875   222             -0.4384567439556122
ILSVRC2012_val_00036264   Great_Pyrenees         5.9278740882873535   257             -0.7074899077415466
ILSVRC2012_val_00045598   Great_Pyrenees         6.84808874130249     257             -0.7074899077415466
ILSVRC2012_val_00047356   kuvasz                 6.294585227966309    222             -0.4384567439556122
ILSVRC2012_val_00003449   red_fox                6.734863758087158    277             -0.5474911332130432
ILSVRC2012_val_00004643   kit_fox                6.880565643310547    278             -0.810930073261261
ILSVRC2012_val_00006668   red_fox                6.532334327697754    277             -0.5474911332130432
ILSVRC2012_val_00008113   red_fox                6.861973285675049    277             -0.5474911332130432
ILSVRC2012_val_00008726   kit_fox                6.260318756103516    278             -0.810930073261261
ILSVRC2012_val_00009066   Saluki                 5.663853645324707    176             -0.5179901719093323
ILSVRC2012_val_00016254   red_fox                6.217172145843506    277             -0.5474911332130432
ILSVRC2012_val_00018381   kit_fox                6.60487174987793     278             -0.810930073261261
ILSVRC2012_val_00025140   red_fox                6.319352149963379    277             -0.5474911332130432
ILSVRC2012_val_00031470   red_fox                5.587859153747559    277             -0.5474911332130432
ILSVRC2012_val_00032623   red_fox                6.610813140869141    277             -0.5474911332130432
ILSVRC2012_val_00039745   kit_fox                6.706724166870117    278             -0.810930073261261
ILSVRC2012_val_00040503   kit_fox                7.293668746948242    278             -0.810930073261261
ILSVRC2012_val_00047804   kit_fox                6.2630228996276855   278             -0.810930073261261
ILSVRC2012_val_00049298   red_fox                6.212911128997803    277             -0.5474911332130432
ILSVRC2012_val_00004846   hatchet                5.2333455085754395   596             2.1586873531341553
ILSVRC2012_val_00011738   Siamese_cat            6.861476421356201    284             -0.3659288287162781
ILSVRC2012_val_00014773   Siamese_cat            7.1000494956970215   284             -0.3659288287162781
ILSVRC2012_val_00017186   Siamese_cat            6.707118034362793    284             -0.3659288287162781
ILSVRC2012_val_00017692   Siamese_cat            6.566763401031494    284             -0.3659288287162781
ILSVRC2012_val_00025887   Siamese_cat            6.747226715087891    284             -0.3659288287162781
ILSVRC2012_val_00028213   Siamese_cat            6.74172830581665     284             -0.3659288287162781
ILSVRC2012_val_00034254   Siamese_cat            7.050692558288574    284             -0.3659288287162781
ILSVRC2012_val_00040848   Siamese_cat            6.689450740814209    284             -0.3659288287162781
ILSVRC2012_val_00043090   Siamese_cat            6.858570575714111    284             -0.3659288287162781
ILSVRC2012_val_00043546   Siamese_cat            6.618353366851807    284             -0.3659288287162781
ILSVRC2012_val_00043632   Siamese_cat            7.281156063079834    284             -0.3659288287162781
ILSVRC2012_val_00045347   Siamese_cat            6.227669715881348    284             -0.3659288287162781
ILSVRC2012_val_00047103   Siamese_cat            6.235807418823242    284             -0.3659288287162781
ILSVRC2012_val_00048160   Siamese_cat            6.44618558883667     284             -0.3659288287162781
ILSVRC2012_val_00004660   American_black_bear    5.954762935638428    295             -0.9482288360595703
ILSVRC2012_val_00006350   American_black_bear    6.747494220733643    295             -0.9482288360595703
ILSVRC2012_val_00012507   American_black_bear    6.607052326202393    295             -0.9482288360595703
ILSVRC2012_val_00030951   American_black_bear    6.691328525543213    295             -0.9482288360595703
ILSVRC2012_val_00033693   American_black_bear    5.936845302581787    295             -0.9482288360595703
ILSVRC2012_val_00033969   American_black_bear    7.155520915985107    295             -0.9482288360595703
ILSVRC2012_val_00035292   American_black_bear    6.593222141265869    295             -0.9482288360595703
ILSVRC2012_val_00035591   American_black_bear    6.458756446838379    295             -0.9482288360595703
ILSVRC2012_val_00043648   American_black_bear    7.068826198577881    295             -0.9482288360595703
ILSVRC2012_val_00045891   American_black_bear    7.05547571182251     295             -0.9482288360595703
ILSVRC2012_val_00046668   American_black_bear    6.181187152862549    295             -0.9482288360595703
ILSVRC2012_val_00049613   American_black_bear    6.002864837646484    295             -0.9482288360595703
ILSVRC2012_val_00049973   American_black_bear    6.918284893035889    295             -0.9482288360595703
ILSVRC2012_val_00006966   ladybug                6.288686275482178    301             -0.06957802921533585
ILSVRC2012_val_00015975   ladybug                6.4797492027282715   301             -0.06957802921533585
ILSVRC2012_val_00017130   ladybug                6.467367649078369    301             -0.06957802921533585
ILSVRC2012_val_00017406   ladybug                6.69113302230835     301             -0.06957802921533585
ILSVRC2012_val_00017635   ladybug                6.247190952301025    301             -0.06957802921533585
ILSVRC2012_val_00018858   ladybug                6.8429131507873535   301             -0.06957802921533585
ILSVRC2012_val_00021935   ladybug                6.737226963043213    301             -0.06957802921533585
ILSVRC2012_val_00023833   ladybug                6.5622944831848145   301             -0.06957802921533585
ILSVRC2012_val_00024558   leaf_beetle            6.49148416519165     304             -0.7553110718727112
ILSVRC2012_val_00025218   ladybug                6.636430740356445    301             -0.06957802921533585
ILSVRC2012_val_00029086   ladybug                6.415440559387207    301             -0.06957802921533585
ILSVRC2012_val_00029421   ladybug                6.727477550506592    301             -0.06957802921533585
ILSVRC2012_val_00031140   ladybug                6.884109973907471    301             -0.06957802921533585
ILSVRC2012_val_00031903   ladybug                7.263916492462158    301             -0.06957802921533585
ILSVRC2012_val_00032986   leaf_beetle            6.684563636779785    304             -0.7553110718727112
