,anomaly_score_new,good_or_bad,a_type_id,img_no,a_type
0,0.3465731,False,0,0,good
1,0.32767066,False,0,1,good
2,0.3476641,False,0,2,good
3,0.26315606,False,0,3,good
4,0.31848517,False,0,4,good
5,0.29443386,False,0,5,good
6,0.36351505,False,0,6,good
7,0.3287166,False,0,7,good
8,0.3298018,False,0,8,good
9,0.3432914,False,0,9,good
10,0.3611504,False,0,10,good
11,0.275716,False,0,11,good
12,0.31307715,False,0,12,good
13,0.30103564,False,0,13,good
14,0.35808763,False,0,14,good
15,0.31251505,False,0,15,good
16,0.23481862,False,0,16,good
17,0.26603973,False,0,17,good
18,0.35750297,False,0,18,good
19,0.2837187,False,0,19,good
20,0.50894785,False,0,20,good
21,0.2652874,False,0,21,good
22,0.45628235,False,0,22,good
23,0.29921997,False,0,23,good
24,0.3632524,False,0,24,good
25,0.36055568,False,0,25,good
26,0.33027905,False,0,26,good
27,0.28753948,False,0,27,good
28,0.3600599,False,0,28,good
29,0.3094066,False,0,29,good
30,0.3131559,False,0,30,good
31,0.3334493,False,0,31,good
32,0.29684183,False,0,32,good
33,0.30526727,False,0,33,good
34,0.30329216,False,0,34,good
35,0.28435108,False,0,35,good
36,0.36697295,False,0,36,good
37,0.31436333,False,0,37,good
38,0.28608498,False,0,38,good
39,0.41436678,False,0,39,good
40,0.7658384,True,1,0,crack
41,0.71133244,True,1,1,crack
42,0.73362535,True,1,2,crack
43,0.7422479,True,1,3,crack
44,0.54097646,True,1,4,crack
45,0.55698955,True,1,5,crack
46,0.53077763,True,1,6,crack
47,0.5347472,True,1,7,crack
48,0.43652695,True,1,8,crack
49,0.43064445,True,1,9,crack
50,0.42415166,True,1,10,crack
51,0.45881242,True,1,11,crack
52,0.487866,True,1,12,crack
53,0.48563904,True,1,13,crack
54,0.5319819,True,1,14,crack
55,0.53205574,True,1,15,crack
56,0.41869515,True,1,16,crack
57,0.39326978,True,1,17,crack
58,0.3959489,True,1,18,crack
59,0.45865846,True,1,19,crack
60,0.46065545,True,1,20,crack
61,0.384192,True,1,21,crack
62,0.4724365,True,1,22,crack
63,0.379556,True,1,23,crack
64,0.61481476,True,1,24,crack
65,0.5716417,True,1,25,crack
66,0.45909107,True,1,26,crack
67,0.528806,True,1,27,crack
68,0.5437279,True,1,28,crack
69,0.3782828,True,1,29,crack
70,0.4125055,True,1,30,crack
71,0.46365374,True,1,31,crack
72,0.30214173,True,1,32,crack
73,0.3537683,True,1,33,crack
74,0.3250158,True,1,34,crack
75,0.3833354,True,1,35,crack
76,0.4829324,True,1,36,crack
77,0.48194456,True,1,37,crack
78,0.45339024,True,1,38,crack
79,0.5025796,True,1,39,crack
80,0.63039005,True,1,40,crack
81,0.683195,True,1,41,crack
82,0.6755321,True,1,42,crack
83,0.8361326,True,1,43,crack
84,0.464585,True,1,44,crack
85,0.5167822,True,1,45,crack
86,0.45453367,True,1,46,crack
87,0.47076923,True,1,47,crack
88,0.31754887,True,1,48,crack
89,0.32545668,True,1,49,crack
90,0.32996118,True,1,50,crack
91,0.36403215,True,1,51,crack
92,0.54850686,True,1,52,crack
93,0.4848291,True,1,53,crack
94,0.60686564,True,1,54,crack
95,0.60298824,True,1,55,crack
96,0.42826533,True,1,56,crack
97,0.5312608,True,1,57,crack
98,0.47098774,True,1,58,crack
99,0.50129116,True,1,59,crack
100,0.6787287,True,1,60,crack
101,0.69362247,True,1,61,crack
102,0.63470584,True,1,62,crack
103,0.6593412,True,1,63,crack
104,0.43374652,True,2,0,cut
105,0.3622547,True,2,1,cut
106,0.41064808,True,2,2,cut
107,0.42094895,True,2,3,cut
108,0.3249901,True,2,4,cut
109,0.31815875,True,2,5,cut
110,0.38292137,True,2,6,cut
111,0.32085806,True,2,7,cut
112,0.43326646,True,2,8,cut
113,0.4240085,True,2,9,cut
114,0.40527284,True,2,10,cut
115,0.45064986,True,2,11,cut
116,0.42468184,True,2,12,cut
117,0.45924035,True,2,13,cut
118,0.4135946,True,2,14,cut
119,0.5268438,True,2,15,cut
120,0.47352916,True,2,16,cut
121,0.47458556,True,2,17,cut
122,0.4436569,True,2,18,cut
123,0.48810995,True,2,19,cut
124,0.3437232,True,2,20,cut
125,0.3000122,True,2,21,cut
126,0.35317516,True,2,22,cut
127,0.3577203,True,2,23,cut
128,0.31550077,True,2,24,cut
129,0.34084424,True,2,25,cut
130,0.33720866,True,2,26,cut
131,0.33516258,True,2,27,cut
132,0.44642094,True,2,28,cut
133,0.36807364,True,2,29,cut
134,0.35732743,True,2,30,cut
135,0.45200425,True,2,31,cut
136,0.35913798,True,2,32,cut
137,0.3724661,True,2,33,cut
138,0.3179269,True,2,34,cut
139,0.36362985,True,2,35,cut
140,0.4098096,True,2,36,cut
141,0.38776356,True,2,37,cut
142,0.39464915,True,2,38,cut
143,0.43380544,True,2,39,cut
144,0.45187414,True,2,40,cut
145,0.3361739,True,2,41,cut
146,0.3789932,True,2,42,cut
147,0.35285679,True,2,43,cut
148,0.55212116,True,2,44,cut
149,0.48177654,True,2,45,cut
150,0.48003718,True,2,46,cut
151,0.5392548,True,2,47,cut
152,0.33172786,True,2,48,cut
153,0.3648181,True,2,49,cut
154,0.45036373,True,2,50,cut
155,0.39076865,True,2,51,cut
156,0.38570166,True,2,52,cut
157,0.3760646,True,2,53,cut
158,0.3942194,True,2,54,cut
159,0.42292994,True,2,55,cut
160,0.42849946,True,2,56,cut
161,0.4700662,True,2,57,cut
162,0.40743798,True,2,58,cut
163,0.44573355,True,2,59,cut
164,0.35333154,True,2,60,cut
165,0.37460077,True,2,61,cut
166,0.3372661,True,2,62,cut
167,0.34910312,True,2,63,cut
168,0.44116884,True,3,0,hole
169,0.4217298,True,3,1,hole
170,0.4281959,True,3,2,hole
171,0.4115904,True,3,3,hole
172,0.43191198,True,3,4,hole
173,0.46302867,True,3,5,hole
174,0.4878934,True,3,6,hole
175,0.4160985,True,3,7,hole
176,0.37942567,True,3,8,hole
177,0.42231524,True,3,9,hole
178,0.38805062,True,3,10,hole
179,0.37588173,True,3,11,hole
180,0.44820482,True,3,12,hole
181,0.4663265,True,3,13,hole
182,0.4495887,True,3,14,hole
183,0.43613622,True,3,15,hole
184,0.45356697,True,3,16,hole
185,0.4793256,True,3,17,hole
186,0.44490936,True,3,18,hole
187,0.4566332,True,3,19,hole
188,0.4582972,True,3,20,hole
189,0.4928382,True,3,21,hole
190,0.40573013,True,3,22,hole
191,0.45989615,True,3,23,hole
192,0.44272447,True,3,24,hole
193,0.41471225,True,3,25,hole
194,0.4101427,True,3,26,hole
195,0.37392864,True,3,27,hole
196,0.48630488,True,3,28,hole
197,0.50401056,True,3,29,hole
198,0.47670293,True,3,30,hole
199,0.4826731,True,3,31,hole
200,0.39962804,True,3,32,hole
201,0.47822696,True,3,33,hole
202,0.42915285,True,3,34,hole
203,0.45824516,True,3,35,hole
204,0.4288761,True,3,36,hole
205,0.4400525,True,3,37,hole
206,0.3949976,True,3,38,hole
207,0.44212818,True,3,39,hole
208,0.54649067,True,3,40,hole
209,0.501805,True,3,41,hole
210,0.5021983,True,3,42,hole
211,0.47944766,True,3,43,hole
212,0.5159469,True,3,44,hole
213,0.504806,True,3,45,hole
214,0.5166003,True,3,46,hole
215,0.46143937,True,3,47,hole
216,0.5136943,True,3,48,hole
217,0.5182023,True,3,49,hole
218,0.4824329,True,3,50,hole
219,0.5181724,True,3,51,hole
220,0.4974637,True,3,52,hole
221,0.4623537,True,3,53,hole
222,0.50013447,True,3,54,hole
223,0.48396152,True,3,55,hole
224,0.36570877,True,3,56,hole
225,0.33842778,True,3,57,hole
226,0.37439498,True,3,58,hole
227,0.40995973,True,3,59,hole
228,0.51637465,True,3,60,hole
229,0.58234996,True,3,61,hole
230,0.50812256,True,3,62,hole
231,0.48741776,True,3,63,hole
232,0.6659001,True,4,0,print
233,0.67661405,True,4,1,print
234,0.6709369,True,4,2,print
235,0.6732601,True,4,3,print
236,0.7254783,True,4,4,print
237,0.7295813,True,4,5,print
